ID,A,B,C,D,E,Toplam
1,196,0,25778,2882916,250,2909140
2,0,0,5400,327534,0,332934
3,0,0,3588,447124,0,450712
4,0,0,2404,217151,0,219555
5,500,0,2736,485905,0,489141
6,5000,0,6891,255381,0,267272
7,5774,72200,128155,53365480,300,53571909
8,0,0,39696,5494777,0,5534473
9,0,0,432,17343,0,17775
10,0,0,2064,152902,0,154966
11,1560,0,15457,858347,0,875364
12,700,0,12275,837027,0,850002
13,0,0,1008,194545,0,195553
14,0,0,4272,274994,0,279266
15,0,0,288,42088,0,42376
16,0,0,1661,190065,0,191726
17,0,0,984,112073,0,113057
18,0,0,1206,211282,0,212488
19,10000,0,2067,213393,0,225460
20,0,0,1962,202580,0,204542
21,3658,0,34162,7154325,0,7192145
22,0,0,2994,383277,0,386271
23,0,0,1512,74141,0,75653
24,0,0,4728,420389,0,425117
25,1410,0,10205,3679473,0,3691088
26,10404,0,10554,1472545,0,1493503
27,0,0,1752,177056,0,178808
28,0,0,2376,627506,0,629882
29,0,0,3544,495134,0,498678
30,0,0,1008,108263,0,109271
31,666,0,6972,435573,0,443211
32,50727,0,8512,770185,0,829424
33,0,0,56134,7536778,0,7592912
34,0,0,3636,194752,0,198388
35,0,0,384,36621,0,37005
36,0,0,384,189825,0,190209
37,19426,0,21575,1725501,0,1766502
38,0,0,1586,155083,0,156669
39,0,0,4038,295529,0,299567
40,2023380,35000,294092,100951544,17607,103321623
41,0,0,64536,9624876,0,9689412
42,0,0,5499,912528,0,918027
43,0,0,3636,172412,0,176048
44,0,0,2048,1031468,0,1033516
45,0,0,1752,145282,0,147034
46,78,0,2604,247981,0,250663
47,7994,0,23817,2783432,0,2815243
48,0,0,1008,78016,0,79024
49,0,0,5190,518681,0,523871
50,0,0,1014,92795,0,93809
51,0,0,384,97497,0,97881
52,940,0,36507,11297948,0,11335395
53,1520,0,28737,3853448,0,3883705
54,0,0,2052,230444,0,232496
55,0,0,5062,473050,0,478112
56,1800,0,15596,772709,0,790105
57,0,0,10023,520339,0,530362
58,1400,0,22042,3556625,0,3580067
59,2000,0,7999,738486,0,748485
60,0,0,1248,180349,0,181597
61,0,0,4932,235304,0,240236
62,0,0,4806,185546,0,190352
63,0,0,3222,290621,0,293843
64,0,0,5086,231402,0,236488
65,0,0,1776,202528,0,204304
66,3380,0,11215,1309774,0,1324369
67,0,0,14963,835160,0,850123
68,0,0,1056,147558,0,148614
69,0,0,4352,190194,0,194546
70,0,0,4908,233350,0,238258
71,0,11475,5154,889964,614,907207
72,1500,0,4748,553803,0,560051
73,3132,0,8653,1215753,0,1227538
74,0,0,3944,254106,0,258050
75,0,0,9032,961893,0,970925
76,0,0,1758,57983,0,59741
77,0,0,5064,297509,0,302573
78,0,0,5514,675387,0,680901
79,0,0,1791,187830,0,189621
80,0,0,6441,348369,0,354810
81,0,0,4227,432003,0,436230
